WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00728TABR,LYNX LAKE,LYNX,25.03790821,3425.4503,830,-122.9060529,53.62424161,1129,607,0,1,4,26,119,218,299,283,135,42,2,0,2,Regional,7A,00728TABR,747
01250LCHL,,MCKENZIE EAST(MACKENZIE #2 (EAST)),23.58824136,2552.3201,854,-122.9443584,53.54075262,1118,606,0,1,4,26,116,215,297,280,135,42,2,0,5,Regional,7A,01250LCHL,748
01241LCHL,,MCKENZIE WEST(MACKENZIE #1 (WEST)),17.36816775,1891.1471,854,-122.9533897,53.54462992,1120,604,0,1,4,26,116,215,297,280,136,42,2,0,1,Regional,7A,01241LCHL,749
00821PARA,MORFEE LAKES,MORFEE,280.9494422,15146.8782,721,-123.0750889,55.34718756,1072,801,1,2,6,30,98,218,290,264,121,37,4,1,7,Regional,7A,,750
00663CARP,MUNLO LAKE,MUNLO(CARR),20.18292188,2163.4338,933,-123.4883132,54.8335478,907,826,0,0,1,13,73,177,262,243,107,28,1,0,2,Regional,7A,,751
00763LCHL,NADSILNICH LAKE,NADSILNICH(WEST),500.615609,11587.161,696,-122.8549338,53.71313658,1213,609,0,1,5,32,138,234,313,291,148,50,3,0,12,Regional,7A,,752
01162LCHL,NELSON LAKE,NELSON,9.29584829,1627.7874,868,-122.9599933,53.58601615,1104,606,0,1,4,25,114,213,295,279,131,41,2,0,1,Regional,7A,,753
01418STUR,NESS LAKE,NESS,330.3510232,24987.4527,778,-123.1080337,54.0238548,1168,659,0,0,3,27,130,227,304,289,140,45,2,0,7,Regional,7A,01418STUR,754
00920NECR,NULKI LAKE,NULKI,1613.058166,24967.5014,719,-124.1478147,53.90593045,1113,532,0,0,3,26,117,212,291,276,143,43,2,0,10,Regional,7A,00920NECR,755
00349WILL,OPATCHO LAKE,OPATCHO,37.570672,2986.4818,833,-122.2884023,53.74640984,1100,856,0,1,3,25,117,212,288,273,135,45,3,0,5,Quality,7A,00349WILL,756
00372WILL,OTIPEMISIWAK LAKE,OTIPEMISEWAK,6.12370199,1320.5402,804,-122.2869403,53.7371144,1123,857,0,1,4,26,121,216,292,277,139,46,3,0,4,Regional,7A,,757
00788UFRA,PORTAL LAKE,PORTAL,2.05874072,714.0933,1144,-118.4531685,52.8834992,1148,629,1,3,11,39,115,221,296,279,137,42,5,1,1,Regional,7A,,758
00140BOWR,PURDEN LAKE,PURDEN,796.5583417,26383.4906,770,-121.9029977,53.9194672,1186,1045,1,4,11,38,122,226,298,283,147,49,6,1,4,Regional,7A,00140BOWR,759
00734MORK,,RAVEN(RAVEN),8.2528731,1103.7003,1678,-121.5667193,53.76355723,519,1509,1,2,4,10,33,90,148,154,58,16,3,1,1,Regional,7A,,760
00164CANO,,SADDLE #2,2.35169536,771.0361,1226,-118.8853928,52.57525807,1045,862,1,3,11,32,94,200,275,266,123,33,4,1,1,Regional,7A,00164CANO,761
00169CANO,SADDLE LAKES,SADDLE #3(SADDLE #3),7.18196689,1120.4217,1213,-118.8860443,52.57030033,1054,918,1,3,11,32,96,201,277,267,125,34,5,2,1,Regional,7A,,762
00278TABR,SHANE LAKE,SHANE(BEAVER),5.41612151,1043.9075,817,-122.8366106,53.88974072,1124,653,0,0,3,26,122,217,295,280,134,43,2,0,1,Urban,7A,,763
00418UFRA,SHERE LAKE,SHERE,2.14422803,547.8266,764,-119.5997782,53.02981788,1381,606,1,5,18,62,154,260,332,314,167,57,8,2,1,Quality,7A,,764
00968CHES,SMITH LAKE,SMITH,56.47024732,4997.1937,990,-125.373262,53.63515307,902,517,0,0,3,16,71,162,248,242,121,37,3,0,1,Regional,7A,,765
00992MORK,,SNOWSHOE #1(SNOWSHOE (WEST)),42.26664313,2703.2165,1449,-120.8288161,53.48525362,710,1541,1,3,6,15,44,131,202,201,80,22,4,1,1,Regional,7A,,766
00993MORK,DIGGENS LAKE,SNOWSHOE #2,31.52258829,2606.1727,1455,-120.7945776,53.48316673,710,1426,1,3,6,15,48,130,201,200,79,22,4,1,1,Regional,7A,,767
00936CRKD,SQUARE LAKE,SQUARE,14.06922031,1445.5414,708,-122.69883,54.48144764,1147,827,0,0,3,24,126,226,300,285,136,43,2,0,1,Regional,7A,00936CRKD,768
00480NECR,TACHICK LAKE,TACHICK,2128.030218,30782.4527,710,-124.1908057,53.95634755,1112,530,0,0,3,26,116,212,291,275,142,43,2,0,10,Quality,7A,,769
02091SALR,TEARDROP LAKE,TEARDROP,36.96184588,3085.6411,798,-123.4393671,54.38510816,1085,663,0,0,3,23,115,209,287,274,131,41,2,0,5,Regional,7A,,770
02283STUL,TEBBUTT LAKE,TEBBUTT,10.7732144,1649.8533,749,-124.262285,54.32096436,1076,538,0,0,3,23,109,208,286,268,135,41,2,0,1,Trophy,7A,,771
00941CHIL,,TORY,19.02375106,1854.0086,730,-123.4232527,53.50870642,1182,563,0,1,4,32,131,228,305,283,148,47,2,0,1,Regional,7A,00941CHIL,772
00791TABR,TRAPPING LAKE,TRAPPING(TRAPPER),40.81549102,4784.7354,839,-122.5950909,53.57876219,1111,686,0,1,4,26,117,213,292,275,136,44,2,0,1,Regional,7A,,773
00499WILL,TSITNIZ LAKE,TSITNIZ,8.33855943,1884.0111,819,-122.1790772,53.68132905,1105,853,0,1,4,25,118,214,288,270,136,46,3,0,1,Regional,7A,,774
02006SALR,TUREEN LAKE,TUREEN,60.67040434,4208.6749,783,-123.4294778,54.39899156,1095,666,0,0,3,23,116,212,290,276,132,41,2,0,3,Regional,7A,,775
01406STUR,VERDANT LAKE,VERDANT,28.8003005,2465.8314,781,-123.2042483,54.0364984,1165,647,0,0,3,26,129,227,304,288,140,44,2,0,2,Trophy,7A,,776
01436STUR,VIVIAN LAKE,VIVIAN,47.76775021,3574.4062,779,-123.209813,54.02622022,1167,645,0,0,3,26,130,227,304,288,141,45,2,0,3,Regional,7A,01436STUR,777
00165PARS,WINDY POINT LAKE,WINDY POINT,8.39776953,1281.8978,712,-122.9826517,55.11456862,1037,758,0,2,6,28,97,209,282,257,115,36,4,1,1,Regional,7A,,778
00822UFRA,WITNEY LAKE,WITNEY,7.20561443,1281.7846,1113,-118.5555006,52.85339582,1156,655,1,3,11,39,117,223,296,281,138,41,5,1,3,Regional,7A,,779
00200MPRO,,BORROW PIT # 1,0.57086797,332.9083,635,-122.6798981,58.14207707,1075,520,0,0,2,23,110,236,314,264,105,21,1,0,1,Regional,7B,,780
00114MPRO,,BORROW PIT # 2,1.19303906,497.5597,619,-122.6339465,58.21783501,1076,517,0,0,2,23,110,240,312,264,104,20,1,0,1,Regional,7B,,781
00040MPRO,,BORROW PIT # 4,0.99702969,577.2684,625,-122.6654491,58.28867497,1064,524,0,0,2,23,108,237,306,263,104,20,1,0,1,Regional,7B,,782
00266LPRO,,BORROW PIT # 6,2.82560234,856.5747,529,-122.7095808,58.45680717,1134,511,0,0,2,25,119,252,327,277,109,21,0,0,1,No Objective,7B,,783
00256LPRO,,BORROW PIT # 7,3.67992656,752.6798,521,-122.7100418,58.47814964,1144,508,0,0,1,26,121,254,329,279,111,21,0,0,1,Regional,7B,,784
00221LPRO,,BORROW PIT # 8,2.43782656,683.2188,510,-122.703553,58.50588717,1153,508,0,0,1,26,123,257,331,281,112,21,0,0,1,Regional,7B,,785
00218LPRO,,BORROW PIT # 9,1.49601641,497.5308,513,-122.6936166,58.50868576,1151,507,0,0,1,26,122,256,331,280,112,21,0,0,1,No Objective,7B,,786
00158LPRO,,BORROW PIT #11,0.98249219,393.5409,490,-122.6942158,58.53703379,1170,506,0,0,1,27,126,261,335,284,114,21,0,0,1,No Objective,7B,,787
00786PINE,BOULDER LAKE,BOULDER(LEEP-KOW),12.10993281,2375.128,1247,-121.64996,55.34027871,737,832,1,1,3,15,54,144,223,198,73,23,2,1,1,Regional,7B,00786PINE,788
00552UPCE,CHUNAMUN LAKE,CHUNAMUN,46.16548359,2832.0901,908,-122.1697185,56.17540318,970,607,0,1,4,22,87,198,270,244,106,34,2,1,1,Trophy,7B,00552UPCE,789
00544PINE,HEART LAKE,HEART(HART),12.97857031,1491.1729,712,-122.5670507,55.49725719,1072,955,1,2,6,30,101,215,288,262,123,41,4,1,2,Regional,7B,,790
00002UPCE,INGA LAKE,INGA,59.68562031,3505.9777,832,-121.6412212,56.61622902,1076,488,0,1,3,26,110,224,296,267,114,33,2,0,2,Family,7B,,791
00805PINE,IVER LAKE,IVER(SNOW),35.63976953,2524.4553,1395,-122.1791673,55.32924751,639,1603,1,1,3,12,43,124,199,178,59,17,2,1,1,Regional,7B,,792
00347KISK,ONE ISLAND LAKE,ONE ISLAND,196.4362703,6631.2784,897,-120.2922502,55.30584593,1030,561,0,1,5,25,95,205,278,257,120,40,3,1,6,Quality,7B,,793
01142UPCE,PETE LAKE,PETE,36.76961016,3249.1493,871,-122.1395056,55.82617344,992,702,0,1,4,24,89,200,274,251,109,36,3,1,1,Quality,7B,,794
00232MURR,QUALITY LAKE,QUALITY,25.83321563,2854.23,1056,-120.8911954,55.09834083,875,700,1,1,4,20,73,170,247,226,97,33,3,1,2,Quality,7B,,795
00232PINE,STEWART LAKE,STEWART,33.78746563,2778.3791,887,-121.16679,55.96293126,1022,499,0,1,3,24,102,202,279,257,119,33,2,0,1,Quality,7B,,796
00361PINE,SUNDANCE LAKES,SUNDANCE,3.70298203,730.6905,712,-121.3938784,55.71162326,1135,510,0,1,5,33,118,224,298,276,132,44,3,1,2,Regional,7B,,797
01109UPCE,WRIGHT LAKE,WRIGHT,26.40021875,3352.2287,1037,-122.5036789,55.89496847,839,1098,0,1,4,18,70,170,240,218,87,28,2,1,2,Regional,7B,,798
01254OKAN,AGUR LAKE,AGUR,4.59309909,1263.5153,1136,-119.8321553,49.58343506,1275,457,1,1,7,31,116,228,323,322,179,61,5,1,2,Regional,8,,799
01018USHU,AILEEN LAKE,AILEEN(MAU MAU),11.00764491,1655.3575,1360,-119.1271977,50.09705508,1016,770,0,1,4,20,83,175,273,275,142,40,3,0,1,Regional,8,,800
01417OKAN,ALLENDALE LAKE,ALLENDALE,20.50637191,2628.2953,1549,-119.3304908,49.38944338,859,743,0,1,3,13,57,149,244,241,115,33,2,0,1,Regional,8,,801
01915NICL,ALLEYNE LAKE,ALLEYNE,44.19971729,3882.3339,994,-120.5675107,49.91826098,1188,463,1,1,7,32,110,213,297,295,169,56,5,1,2,Unknown,8,,802
00639SIML,ALLISON LAKE,ALLISON,61.77642619,5378.876,874,-120.6070982,49.6983076,1314,579,1,2,9,40,127,232,323,320,190,64,5,1,1,Regional,8,,803
00539KETL,,ARTHURS,8.34411216,1429.0003,1942,-118.5832085,49.68453735,594,1113,0,0,1,6,29,89,186,184,78,19,1,0,1,Regional,8,,804
00359USHU,BAIRD LAKE,BAIRD,8.83272349,1280.9681,831,-118.7943169,50.56896848,1575,659,3,7,23,64,163,270,359,380,227,63,12,4,1,Regional,8,,805
01136OKAN,BAKER LAKE,BAKER,9.02328196,2544.7729,1310,-119.6249868,49.72047888,1136,520,0,1,6,24,100,208,296,291,155,50,5,1,3,Regional,8,,806
00823OKAN,BANANA LAKE,BANANA,1.87475208,565.543,1438,-119.8085824,49.93176096,1075,756,1,1,4,20,87,191,287,285,154,42,3,1,2,Regional,8,,807
00179OKAN,BARDOLPH LAKE,BARDOLPH(VERNON),9.64312724,1409.1769,1022,-119.0566301,50.26874291,1344,608,1,1,7,38,135,243,339,332,187,56,5,1,1,Quality,8,,808
00899KETL,,BEACON,3.26540046,970.3624,1242,-119.0909175,49.49735144,1092,555,0,1,4,22,91,196,293,287,151,42,3,0,1,Regional,8,,809
00185OKAN,BECKER LAKE,BECKER,8.48866273,1225.4332,1215,-119.1573543,50.26070977,1171,707,0,1,5,27,110,212,301,302,162,46,4,1,7,Regional,8,,810
00675SIML,BIELY LAKE,BIELY,6.9119306,1346.5279,1165,-120.728617,49.69368759,1078,691,1,1,5,27,89,186,275,278,158,53,5,1,2,Regional,8,,811
00317KETL,,BIG WHITE BEAVER PONDS,1.73071456,1231.6585,1197,-119.0920062,49.78618418,1110,682,0,1,4,24,98,204,293,287,151,43,4,0,2,Regional,8,,812
00056KETL,BISSON LAKE,BISSON,14.69578479,2061.5122,1402,-118.6129981,50.0477173,980,877,0,1,3,18,76,166,271,269,138,35,3,0,1,Regional,8,,813
00128SIML,BLUEY LAKE,BLUEY,24.26890533,4059.5097,999,-120.5713885,49.87038719,1185,512,1,2,7,32,109,212,296,295,171,56,5,1,1,Regional,8,,814
00928USHU,BONNEAU LAKE,BONNEAU,17.43102507,1999.0703,1570,-118.728746,50.14994096,879,906,0,1,3,15,64,145,246,250,121,33,2,0,1,Quality,8,,815
00725SIML,ROUND LAKE,BORGESON(ROUND),12.72826862,1473.6475,848,-120.6198353,49.66505366,1360,556,1,2,10,45,133,238,330,328,200,69,6,1,7,Regional,8,,816
00132SIML,BOSS LAKE,BOSS,19.60348719,2000.9336,1022,-120.742143,49.87254339,1136,637,1,1,7,30,102,201,288,286,162,54,4,0,2,Family,8,,817
00913KETL,,BOULDER,3.84903926,773.5196,1939,-118.6896806,49.48445174,609,1034,0,0,1,6,30,90,192,190,78,19,2,0,1,Regional,8,,818
01982NICL,BRENDA LAKE,BRENDA(LAKE #4591),19.57902077,2571.492,1709,-120.0431829,49.88651754,748,824,0,1,2,10,45,124,220,217,101,25,2,0,1,Regional,8,,819
00990OKAN,BROWNE LAKE,BROWNE(BURNE),22.53566623,2622.0075,1308,-119.1850661,49.81691146,1048,690,0,1,4,20,86,185,281,280,147,42,3,0,1,Quality,8,,820
01069USHU,BRUNETTE LAKE,BRUNETTE,10.19197853,1284.5167,1362,-119.1595857,50.07847625,1030,791,0,1,4,21,85,178,275,277,145,41,3,0,1,Quality,8,,821
00824KETL,BUCK LAKE,BUCK,17.38452037,2521.334,1385,-118.9790094,49.55203696,994,706,0,1,3,17,75,174,276,272,137,36,3,0,1,Regional,8,,822
01617OKAN,BURNELL LAKE,BURNELL(SAWMILL),12.74299986,2494.0097,730,-119.6116323,49.20907575,1903,355,1,4,21,88,215,331,433,420,270,107,13,2,1,Trophy,8,,823
00965KETL,,BURNS,7.55095733,1381.5608,1467,-118.4869652,49.44620253,1055,834,0,1,3,18,84,176,290,291,150,38,3,0,1,Regional,8,,824
00658SIML,,BUTLER,8.06215692,1558.0598,1539,-120.5490051,49.69319775,819,654,1,1,3,14,55,133,227,231,118,34,3,1,1,Trophy,8,,825
00627SIML,CHAIN LAKE,CHAIN,42.24057891,3998.2588,1006,-120.2764698,49.69705833,1256,500,1,2,8,35,115,220,314,313,185,60,5,1,2,Family,8,,826
00433OKAN,CHRISTIE LAKE,CHRISTIE,3.51077021,788.417,1392,-119.6518907,50.09603047,1146,824,1,1,5,25,104,201,290,299,167,49,4,1,2,Regional,8,,827
00046OKAN,,CHURCHILL,9.71255227,1688.4399,1219,-119.4154094,50.37666622,1202,647,0,1,5,29,116,221,304,307,168,46,4,1,2,Unknown,8,,828
01449OKAN,,CLARK 2 (SE)(LOWER LAKE),4.60789706,1052.8608,1571,-119.4083383,49.36799562,919,719,0,1,3,15,64,157,253,257,128,37,3,0,1,Regional,8,,829
01440OKAN,,CLARK 3 (NE)(UPPER LAKE),5.62929854,1082.9464,1594,-119.3953555,49.37317148,889,736,0,1,3,14,60,152,247,250,124,35,3,0,1,Regional,8,,830
00472SIML,,CLIFF,9.0080562,2193.842,1079,-120.7346304,49.76133588,1120,646,1,2,6,29,97,197,283,284,161,55,5,1,1,Quality,8,,831
00010KETL,,COALGOAT,12.3236024,1759.3626,1683,-118.6799823,50.0853196,791,937,0,0,2,11,51,125,229,234,111,27,2,0,1,Regional,8,,832
00868KETL,COLLIER LAKE,COLLIER LOWER (NW),11.81587225,1578.4692,1178,-118.9198487,49.52055399,1128,613,0,1,5,25,99,203,299,293,157,43,4,0,1,Regional,8,,833
00878KETL,UPPER COLLIER LAKE,COLLIER UPPER (SE),7.73433107,1328.74,1236,-118.9031318,49.5157259,1085,631,0,1,4,22,91,194,292,286,150,41,3,0,1,Regional,8,,834
01213KETL,CONKLE LAKE,CONKL(HACKMATACK),119.5373952,6597.6259,1067,-119.0977086,49.17136117,1367,498,1,1,8,39,136,243,341,338,195,60,5,1,3,Family,8,,835
00781KETL,CUP LAKE,CUP,8.65186165,1640.28,1291,-118.8820589,49.58213449,1065,654,0,1,4,20,87,188,289,284,148,39,3,0,1,Regional,8,,836
01126OKAN,DARKE LAKE,DARKE,25.44895902,3635.2866,885,-119.8650187,49.71762607,1575,483,1,2,13,55,166,281,377,372,216,80,9,1,3,Family,8,,837
00155SIML,DAVIS LAKE,DAVIS,22.52760981,2932.4075,1019,-120.7297145,49.86025159,1143,635,1,1,7,30,103,203,289,287,163,54,4,0,3,Regional,8,,838
00494SIML,DEADMAN LAKE,DEADMAN,6.36237206,1041.378,1077,-120.6131168,49.75596328,1119,588,1,1,6,28,97,196,284,286,162,53,5,1,1,Regional,8,,839
01753OKAN,DEE LAKE,DEE,38.92165844,3907.2289,1351,-119.1603728,50.10780565,1032,792,0,1,4,21,85,177,275,278,147,41,3,0,1,Regional,8,,840
00919USHU,DENISON LAKE,DENISON,5.89419414,1036.8238,1557,-118.7541814,50.15815948,876,888,0,1,3,15,64,144,245,248,121,33,2,0,1,Regional,8,,841
01392OKAN,DERENZY LAKE,DERENZY,6.87297559,1721.6091,1614,-119.4835849,49.41056743,889,717,0,1,3,14,61,148,249,248,126,36,3,0,1,Regional,8,,842
00634SIML,DEWOLF LAKE,DEWOLF,5.19060943,906.4039,1301,-120.3917695,49.70117153,980,583,0,1,4,21,77,169,260,261,140,42,3,0,1,Quality,8,,843
01155OKAN,DIVIDE LAKE,DIVIDE,5.15838293,2198.4492,1493,-119.6023228,49.71445463,1008,549,0,1,4,18,81,177,266,271,141,44,3,0,1,Regional,8,,844
00206KETL,,DIXIE,8.26409907,1445.291,1692,-118.6190669,49.87941355,802,906,0,0,2,10,50,126,235,235,113,27,2,0,1,Regional,8,,845
00618OKAN,DOBBIN LAKE,DOBBIN,11.64824734,2096.1521,1485,-119.816605,49.99367442,991,833,0,1,3,17,76,174,273,269,138,36,3,0,2,Regional,8,,846
00979USHU,DOREEN LAKE,DOREEN,44.73871424,4404.4864,1358,-119.1414272,50.11072572,1026,780,0,1,4,20,83,176,275,278,145,40,3,0,1,Quality,8,00979USHU,847
00740SIML,DRY LAKE,DRY,35.18693265,3638.3959,831,-120.617381,49.64815798,1373,550,1,2,10,46,134,240,331,330,202,71,6,1,4,Regional,8,,848
00436OKAN,DUO VIA LAKE,DUO VIA,6.54177187,1066.819,1399,-119.6554271,50.09474361,1132,820,1,1,5,24,101,199,288,296,164,48,4,1,1,Regional,8,,849
01086OKAN,EASTMERE LAKE,EASTMERE,8.66132695,1656.1122,1417,-120.1889015,49.74295434,923,663,0,1,3,16,67,158,252,254,131,37,3,0,1,Quality,8,,850
01067OKAN,ERN LAKE,ERN,3.16505084,750.2798,1276,-119.2058422,49.77759716,1068,677,0,1,4,21,93,196,283,278,145,42,4,0,1,Regional,8,,851
00796KETL,,FIVE O'CLOCK,8.35646185,1273.3449,1292,-118.8721765,49.57225903,1069,650,0,1,4,21,87,189,290,285,149,40,3,0,1,Trophy,8,,852
01161KETL,FLUORINE LAKE,FLOURINE,2.29804798,778.2612,1012,-118.4818222,49.27247043,1436,525,1,2,8,45,150,248,357,354,205,61,6,1,1,Regional,8,,853
01021USHU,FLYFISH LAKES,FLYFISH 1 (W)(FLYFISH LAKE 2),22.95039902,2602.5468,1360,-119.1544183,50.09027457,1025,787,0,1,4,20,84,177,274,276,144,40,3,0,1,Quality,8,,854
01009USHU,FLYFISH LAKES,FLYFISH 2 (E)(FLYFISH 1),29.22830439,2811.2447,1354,-119.1382713,50.09660738,1021,778,0,1,4,20,84,176,274,276,143,40,3,0,1,Regional,8,01009USHU,855
00363SIML,FRIDAY LAKE,FRIDAY((G) TEPEE LAKES),12.07486741,1412.1406,1417,-120.2555112,49.78976797,895,689,0,1,3,16,65,150,244,247,128,38,3,0,1,Regional,8,,856
00301USHU,GARDOM LAKE,GARDOM,73.49866187,5227.2122,547,-119.1997541,50.60389826,1805,547,1,3,17,85,215,330,416,402,237,87,11,2,1,Family,8,,857
01171OKAN,GARNET LAKE,GARNET(GARNET VALLEY DAM),39.48986794,7490.778,627,-119.7851366,49.6895779,1903,365,2,4,23,90,215,332,426,420,262,112,15,2,6,Regional,8,,858
01441SIML,GARRISON LAKES,GARRISON 1 (N)(GARRISON #1),17.44532438,1666.1247,1315,-120.6927979,49.21688196,988,857,1,1,5,19,71,164,264,263,149,46,4,1,1,Trophy,8,,859
01452SIML,GARRISON LAKES,GARRISON 2 (S)(GARRISON #2),7.48154733,1176.2016,1297,-120.6846546,49.21039395,1013,847,1,1,5,20,75,169,269,269,152,47,4,1,1,Trophy,8,,860
00856OKAN,,GELLATELY,0.51645236,369.6344,1308,-119.8180857,49.91442108,1199,734,1,1,6,27,106,215,313,304,172,49,4,1,1,Regional,8,,861
00672SIML,GILL LAKE,GILL(THIN),3.34230426,929.8145,1511,-120.5553363,49.69028722,839,661,1,1,3,14,57,136,232,236,121,36,3,1,8,Regional,8,,862
00490SIML,GLADSTONE LAKE,GLADSTONE(BATHSTONE),5.92186244,1245.1154,998,-120.643017,49.75684852,1188,580,1,1,7,33,108,211,297,296,173,57,5,1,2,No Objective,8,,863
01040OKAN,GLEN LAKE,GLEN(PEACHLAND RESERVOIR NO.1),10.96681665,1988.2551,1142,-119.9599738,49.78017463,1248,652,1,1,7,31,114,225,317,314,175,56,5,1,2,Quality,8,,864
00672OKAN,MCKINLEY RESERVOIR,GLENMORE RESERVOIR(GLENMORE RESERVOIR),13.98582759,1835.0733,479,-119.4326358,49.97062,2060,346,2,5,27,108,249,361,456,443,278,111,17,3,3,Regional,8,,865
00520SIML,GOOSE LAKE,GOOSE,13.51712356,2573.6408,1092,-120.7304527,49.74261509,1120,650,1,1,6,29,96,196,283,284,163,55,5,1,2,Regional,8,,866
00256USHU,GRASSY LAKE,GRASSY,5.06614291,946.5793,1014,-118.7909803,50.64532871,1407,831,2,5,14,48,136,239,331,361,213,48,8,3,2,Regional,8,,867
00480SIML,GREEN LAKE,GREEN(SECRET 2 LAKE),3.3395504,811.7753,1069,-120.6312753,49.76026951,1130,580,1,1,7,29,98,198,286,287,164,54,5,1,2,Regional,8,,868
01216OKAN,GREYBACK LAKE,GREYBACK,21.36014146,2394.454,1588,-119.4058129,49.64333788,837,790,0,1,3,12,53,148,240,235,109,34,2,0,1,Regional,8,,869
01187USHU,,GRIZZLY SWAMP,5.00185877,1389.6328,1800,-118.9751246,50.05637491,661,985,0,0,1,8,37,100,191,205,93,23,2,0,1,Regional,8,,870
00754USHU,,HAGGKVIST,22.15375301,2763.5524,1580,-118.6488862,50.38200455,873,1119,2,4,8,21,60,140,236,253,118,27,4,2,1,Quality,8,,871
01106OKAN,HAYNES LAKE,HAYNES,63.66563171,4771.8282,1260,-119.1663066,49.75128502,1075,667,0,1,4,22,92,198,286,280,145,42,4,0,3,Regional,8,,873
00972OKAN,HEADWATER LAKES,HEADWATER 1(HEADWATER LAKE NO. 1),54.68008878,7491.5789,1288,-120.0078491,49.81115529,1095,693,1,1,5,23,91,194,288,286,156,46,4,1,6,Family,8,,874
00953OKAN,HEADWATER LAKES,HEADWATER 2 (HEADWATER LAKE NO.2),17.42073283,2871.3429,1301,-120.0033687,49.82285328,1082,693,1,1,5,23,89,192,286,284,154,45,4,1,6,Regional,8,,875
00957OKAN,HEADWATER LAKES,HEADWATER 3(HEADWATER LAKE NO.3),18.81389856,3169.1781,1296,-120.0120977,49.82023803,1088,689,1,1,5,23,89,193,287,285,155,45,4,1,5,Regional,8,,876
00962OKAN,HEADWATER LAKES,HEADWATER 4(HEADWATER LAKE NO.4),17.99629281,2368.9257,1301,-120.0215285,49.81729665,1085,691,1,1,5,23,89,192,286,284,154,45,4,1,3,Regional,8,,877
00334USHU,HIDDEN LAKE,HIDDEN,130.7404924,7013.2152,650,-118.8221963,50.57105806,1730,627,4,9,29,82,191,301,389,394,236,75,16,5,1,Regional,8,,878
00337OKAN,HIGH LAKE,HIGH,7.83075296,1633.9374,1342,-119.2367339,50.15229645,1098,764,0,1,4,23,94,192,285,290,156,47,4,1,1,Regional,8,,879
00157USHU,HOLIDAY LAKE,HOLIDAY,2.97132284,1033.5487,1265,-118.7122804,50.70193695,1190,1018,2,5,13,33,101,198,289,323,180,36,7,3,1,Regional,8,,880
00805USHU,HOLSTEIN LAKE,HOLSTEIN,9.98666491,1563.4833,1512,-118.680353,50.32559569,899,1018,0,1,2,15,67,150,247,261,125,29,2,0,3,Regional,8,,881
01034KETL,HOODOO LAKE,HOODOO,16.53547324,2976.7504,1226,-118.9557886,49.37680669,1145,604,0,1,5,25,99,203,300,298,163,45,4,0,1,Regional,8,,882
00383SIML,HOOK LAKE,HOOK(BOOMERANG),9.92375715,2133.1406,1277,-120.5755505,49.7897319,990,605,0,1,4,21,77,169,261,264,143,44,4,0,2,Regional,8,,883
01063OKAN,MCCULLOCH RESERVOIR,HYDRAULIC((G) MCCULLOCH RESERVOIR),285.7780817,23086.0599,1260,-119.1987538,49.76636742,1083,674,0,1,4,22,96,201,285,280,146,43,4,0,5,Family,8,,884
00377KETL,IDABEL LAKE,IDABEL(CARIBOO),40.20002241,5736.8956,1235,-119.185594,49.73488038,1096,669,0,1,5,22,97,203,291,283,147,43,3,0,4,Family,8,,885
00884KETL,IDLEBACK LAKE,IDLEBACK,13.66975632,1628.2708,1440,-119.295489,49.50833659,939,710,0,1,3,15,68,165,263,258,126,36,3,0,1,Trophy,8,00884KETL,886
01278OKAN,ISINTOK LAKE,ISINTOK(CANYON),43.14416921,8530.399,1648,-119.9810053,49.53932184,805,600,0,1,2,12,49,128,227,233,117,33,2,0,1,Regional,8,,887
00850OKAN,JACKPINE LAKE,JACKPINE,44.35407783,3681.5856,1299,-119.8070453,49.91603488,1205,737,1,1,6,27,107,216,314,305,173,50,4,1,1,Regional,8,00850OKAN,888
01221KETL,JEWEL LAKE,JEWEL,71.95560096,6206.1955,1133,-118.6098025,49.17409804,1331,653,1,1,7,35,127,230,341,340,190,55,5,1,4,Family,8,,889
00555SIML,,JOHN BURNS,0.56773134,367.0252,985,-120.6159579,49.73389159,1206,593,1,2,8,33,111,214,299,299,175,59,5,1,2,Regional,8,,890
00497SIML,,JOHNNY,4.21078003,1441.1904,1079,-120.7334834,49.7542461,1124,648,1,2,6,29,97,197,284,284,163,56,5,1,1,Regional,8,,891
00815USHU,KATHY LAKE,KATHY,6.36461159,1103.0243,1371,-118.6972862,50.32342316,1006,957,0,1,3,19,82,174,270,277,141,35,3,0,2,Regional,8,,892
01966NICL,,KENTUCKY NE POTHOLE,1.91678461,526.5611,1004,-120.5629077,49.90820801,1182,475,1,1,7,32,108,211,296,295,170,56,5,1,1,Family,8,,893
01964NICL,,KENTUCKY NW POTHOLE(KENTUCKY POTHOLE NW),2.65770855,743.0745,1001,-120.565487,49.90823674,1185,474,1,1,7,32,109,211,296,296,170,56,5,1,1,Family,8,,894
02004NICL,,KENTUCKY SE POTHOLE,2.30942849,725.6799,1002,-120.5641489,49.89221478,1183,486,1,1,7,32,108,211,296,295,170,56,5,1,1,Trophy,8,,895
01978NICL,KENTUCKY LAKE,KENTUCKY,39.59783746,4400.8162,997,-120.5649103,49.89920211,1186,479,1,1,7,32,109,212,296,296,170,56,5,1,3,Family,8,,896
